千 代 田 区,70,748,4,867
中  央  区,21,790,2,896
新  宿  区,185,862,4,976
文  京  区,176,390,1,439
台  東  区,85,702,5,776
墨  田  区,108,536,3,630
江  東  区,253,1089,6,1291
品  川  区,91,761,4,862
目  黒  区,299,573,0,649
大  田  区,130,1348,3,1506
世 田 谷 区,16,2092,7,2431
渋  谷  区,264,696,2,778
中  野  区,26,530,1,588
杉  並  区,205,1184,7,1371
豊  島  区,373,652,5,726
北       区,61,486,1,552
荒  川  区,349,403,2,454
板  橋  区,219,1100,9,1235
練  馬  区,322,1337,4,1544
足  立  区,377,1714,10,1919
葛  飾  区,357,886,6,1000
江 戸 川 区,252,1395,12,1577
八 王 子 市,51,1729,3,2033
立  川  市,312,721,3,856
武 蔵 野 市,241,344,1,395
三  鷹  市,14,410,1,456
青  梅  市,405,393,5,449
府  中  市,166,417,4,471
昭  島  市,201,371,2,434
調  布  市,372,413,1,466
町    田    市,295,947,8,1091
小  金  井  市,153,204,0,224
小    平    市,150,493,1,538
日    野    市,199,401,3,458
東  村  山  市,214,310,2,358
国  分  寺  市,97,195,0,226
国    立    市,98,240,2,263
福    生    市,307,220,1,265
狛    江    市,281,108,0,116
東  大  和  市,211,242,2,292
清    瀬    市,263,115,0,126
東久留米市,207,268,1,315
武蔵村山市,240,282,0,336
多    摩    市,113,336,0,399
稲    城    市,311,199,2,232
羽    村    市,326,143,0,155
あき る 野 市,1,235,0,289
西  東  京  市,367,369,4,408
瑞    穂    町,287,179,0,222
日  の  出  町,198,61,1,75
檜    原    村,239,26,1,31
奥  多  摩  町,139,12,1,12
大    島    町,123,2,0,2
利    島    村,58,0,0,0
新    島    村,187,2,0,2
神  津  島  村,306,2,0,4
三    宅    村,6,1,0,1
御  蔵  島  村,172,0,0,0
八    丈    町,49,5,0,5
青  ヶ  島  村,404,0,0,0
小  笠  原  村,152,1,0,1